Ciudad;latitud;longitud;Ciudad;latitud;longitud;Ciudad;latitud;longitud;Ciudad;latitud;longitud
Bogotá;46.097.102;-74.081.749;Nueva York;407.142.715;-740.059.662;Madrid;404.165.001;-37.025.599;Nueva York;407.142.715;-740.059.662
Cali;34.372.201;-765.224.991;Los Ángeles;340.522.308;-1.182.436.829;Barcelona;413.887.901;21.589.899;Los Ángeles;340.522.308;-1.182.436.829
Medellín;62.518.401;-75.563.591;Chicago;41.850.029;-876.500.473;Valencia;394.697.495; -0.37739;Chicago;41.850.029;-876.500.473
Barranquilla;109.685.402;-747.813.187;Brooklyn;406.501.007;-739.495.773;Sevilla;373.828.316;-59.731.698;Brooklyn;406.501.007;-739.495.773
Cartagena de Indias;103.997.202;-755.144.424;Houston;297.632.809;-953.632.736;Zaragoza;416.560.593; -0.87734;Houston;297.632.809;-953.632.736
Cúcuta;78.939.099;-725.078.201;Queens;406.814.919;-738.365.173;Málaga;367.201.614;-44.203.401;Queens;406.814.919;-738.365.173
Bucaramanga;71.253.901;-731.197.968;Filadelfia;399.523.315;-751.637.878;Murcia;379.870.415;-113.004;Filadelfia;399.523.315;-751.637.878
Pereira;48.133.302;-756.961.136;Phoenix;334.483.795;-1.120.740.433;Palma de Mallorca;395.693.893;26.502.399;Phoenix;334.483.795;-1.120.740.433
Santa Marta;112.407.904;-741.990.433;Manhattan;407.834.282;-739.662.476;Las Palmas de Gran Canaria;280.997.295;-154.134.302;Manhattan;407.834.282;-739.662.476
Ibagué;443.889;-752.322.235;San Antonio;294.241.199;-984.936.295;Bilbao;432.627.106;-29.252.801;San Antonio;294.241.199;-984.936.295
Bello;63.373.199;-755.579.529;San Diego;327.153.282;-1.171.572.571;Alicante;383.451.691; -0.48149;San Diego;327.153.282;-1.171.572.571
Pasto;12.136.101;-772.811.127;The Bronx;408.498.497;-738.664.093;Córdoba;378.915.482;-47.727.499;The Bronx;408.498.497;-738.664.093
Manizales;50.688.901;-755.173.798;Dallas;327.830.582;-968.066.711;Valladolid;416.551.819;-47.237.201;Dallas;327.830.582;-968.066.711
Neiva;29.273;-752.818.909;San José;373.393.898;-1.218.949.585;Vigo;422.328.186;-872.264;San José;373.393.898;-1.218.949.585
Soledad;109.184.303;-747.645.874;Austin;302.671.509;-977.430.573;Gijón;435.357.285;-566.152;Austin;302.671.509;-977.430.573
Villavicencio;41.420.002;-736.266.403;Jacksonville;3.033.218;-816.556.473;Distrito del Ensanche;413.889.618;21.617.899;Jacksonville;3.033.218;-816.556.473
Armenia;45.338.898;-756.811.066;San Francisco;37.774.929;-1.224.194.183;Hospitalet de Llobregat;413.596.687;210.028;San Francisco;37.774.929;-1.224.194.183
Soacha;457.937;-742.168.198;Columbus;399.611.816;-829.987.869;Latina;403.889.694;-37.456.901;Columbus;399.611.816;-829.987.869
Valledupar;104.631.395;-732.532.196;Fort Worth;327.254.105;-973.208.466;Carabanchel;403.909.416;-37.242;Fort Worth;327.254.105;-973.208.466
Itagüí;61.846.099;-755.991.287;Indianápolis;397.683.792;-861.580.429;La Coruña;433.713.493;-83.959.999;Indianápolis;397.683.792;-861.580.429
Montería;87.479.801;-758.814.316;Charlotte;352.270.889;-80.843.132;Puente de Vallecas;403.935.394;-36.619.999;Charlotte;352.270.889;-80.843.132
